Iter,Time,LogLik
1,3.289,-8607220.49633505
2,5.059,-8590964.31671822
3,6.703,-8613069.01544292
4,8.315,-8610435.03326124
5,9.887,-8608971.82750012
6,11.470,-8608431.53914181
7,13.114,-8601063.79972828
8,14.543,-8602006.02616397
9,16.007,-8604353.37632835
10,17.400,-8604506.02859013
11,18.820,-8602444.90819458
12,20.287,-8607181.61260556
13,21.703,-8610676.13348318
14,23.079,-8608723.63426870
15,24.487,-8609489.12126553
16,25.829,-8608704.22566918
17,27.214,-8607014.36503813
18,28.561,-8606563.80231556
19,29.903,-8606962.20499050
20,31.243,-8608355.72499923
21,32.605,-8607656.16988727
22,33.953,-8607304.32755385
23,35.293,-8607979.14358457
24,36.622,-8609171.75699494
25,37.998,-8606683.68712200
26,39.358,-8607138.58679034
27,40.689,-8607776.86399378
28,42.045,-8607564.61737492
29,43.378,-8607015.58436642
30,44.719,-8606979.57212041
31,46.040,-8605477.27746006
32,47.375,-8606444.69627718
33,48.719,-8604549.19892769
34,50.048,-8602750.55695404
35,51.358,-8601317.24298565
36,52.639,-8601185.48055910
37,53.988,-8600217.93833656
38,55.302,-8599645.93863512
39,56.584,-8599343.47160012
40,57.917,-8597680.88022334
41,59.224,-8600486.65322005
42,60.527,-8599038.30307110
43,61.824,-8597531.94522673
44,63.105,-8598114.99860312
45,64.384,-8595917.13100772
46,65.684,-8594788.42879295
47,66.958,-8592200.14721907
48,68.231,-8591224.05954523
49,69.512,-8589593.10690965
50,70.826,-8588696.85678509
51,72.065,-8586735.92254623
52,73.352,-8586459.61257254
53,74.648,-8586459.56172905
54,75.932,-8584639.55898756
55,77.227,-8585488.98599953
56,78.528,-8583775.27972041
57,79.811,-8581250.39478436
58,81.070,-8579187.24457532
59,82.360,-8578107.48612150
60,83.634,-8577714.26238026
61,84.932,-8576324.46696006
62,86.171,-8576024.99845439
63,87.440,-8576168.99591857
64,88.712,-8575839.57139179
65,90.028,-8577032.64788771
66,91.269,-8576245.96672294
67,92.542,-8574714.07066478
68,93.830,-8573509.65956237
69,95.099,-8571080.07928026
70,96.365,-8569352.94129304
71,97.630,-8568019.39829915
72,98.900,-8566161.69064165
73,100.165,-8564382.03519868
74,101.441,-8563539.71380859
75,102.717,-8562742.66924928
76,104.005,-8560901.22429920
77,105.327,-8559403.97633430
78,106.591,-8557539.97952750
79,107.901,-8556010.34694715
80,109.178,-8554353.12623160
81,110.433,-8552851.10947742
82,111.705,-8551821.53435393
83,113.001,-8550207.71891399
84,114.276,-8548435.00524401
85,115.545,-8547340.90476904
86,116.826,-8545943.87893913
87,118.094,-8543943.59345665
88,119.371,-8542741.47865839
89,120.640,-8541702.87593991
90,121.929,-8540507.50299713
91,123.186,-8539143.84678472
92,124.452,-8538025.14702050
93,125.703,-8536160.46454222
94,126.999,-8535148.81408170
95,128.247,-8533257.18939394
96,129.496,-8531546.29436916
97,130.759,-8530023.56914422
98,132.047,-8529160.54826462
99,133.288,-8528077.72205922
100,134.555,-8527083.20753112
101,136.385,-8526008.71915484
102,137.628,-8524333.65346609
103,138.908,-8523288.12274052
104,140.170,-8521772.55646898
105,141.446,-8520918.32441275
106,142.685,-8519990.04346979
107,143.947,-8518638.49844885
108,145.210,-8518071.88898101
109,146.495,-8516683.26989035
110,147.730,-8514769.48136619
111,149.000,-8513943.75473430
112,150.283,-8512576.98079026
113,151.526,-8512132.33745576
114,152.795,-8511141.80413744
115,154.044,-8510307.50052124
116,155.325,-8509303.99528457
117,156.592,-8508648.40321687
118,157.814,-8507370.53718523
119,159.093,-8506154.86409549
120,160.376,-8506165.93400856
121,161.639,-8505676.49599594
122,162.918,-8504857.00836332
123,164.219,-8504103.86599302
124,165.486,-8502415.40154562
125,166.735,-8501226.27195326
126,168.001,-8500631.10763875
127,169.290,-8499205.09362821
128,170.598,-8498270.45107279
129,171.828,-8497398.58331407
130,173.112,-8497648.36460714
131,174.360,-8496743.78328920
132,175.616,-8495482.44978289
133,176.871,-8494545.19469392
134,178.146,-8492962.76194766
135,179.404,-8491743.71911005
136,180.659,-8490564.90689993
137,181.906,-8489662.60083858
138,183.218,-8489981.90059416
139,184.481,-8488302.40611260
140,185.736,-8487040.48046060
141,187.011,-8486065.84025618
142,188.259,-8485603.19798117
143,189.534,-8484889.19902048
144,190.783,-8484031.51770823
145,192.510,-8483226.49608105
146,193.792,-8481789.62354390
147,195.038,-8481003.26794440
148,196.296,-8479583.17781790
149,197.616,-8478496.87189675
150,198.885,-8477415.69420322
151,200.143,-8476416.16698316
152,201.439,-8476137.29571882
153,202.696,-8475116.51767088
154,203.917,-8474788.57079938
155,205.176,-8473822.43281351
156,206.429,-8472679.49115957
157,207.676,-8471888.03338109
