Iter,Time,LogLik
1,5.520,-36155834.56625183
2,9.000,-35616756.80721008
3,12.314,-35374476.55911217
4,15.389,-35195402.99700470
5,18.376,-35084517.07345405
6,21.335,-34984438.22715726
7,24.319,-34899098.65995920
8,27.209,-34829432.21950330
9,29.989,-34765701.70169267
10,32.793,-34715187.19938108
11,35.534,-34670551.20500818
12,38.245,-34621861.69838323
13,40.945,-34577123.82003769
14,43.624,-34541850.07495733
15,46.244,-34509194.84042113
16,48.893,-34479425.86744794
17,51.563,-34450289.21357282
18,54.221,-34421013.95505098
19,56.907,-34392326.54123764
20,59.523,-34364116.95658866
21,62.143,-34339455.02403809
22,64.750,-34313539.84083957
23,67.309,-34296612.73483396
24,69.896,-34279050.85558428
25,72.509,-34265473.60881027
26,75.110,-34245450.06847604
27,77.775,-34227499.89687540
28,80.379,-34208050.23312545
29,82.932,-34191551.13931944
30,85.574,-34171554.08774081
31,88.181,-34155629.14412035
32,90.731,-34139102.09924153
33,93.343,-34124251.78620713
34,95.919,-34114587.10566921
35,98.469,-34099135.95960645
36,101.089,-34084673.96028931
37,103.642,-34073084.95031681
38,106.178,-34058847.76877435
39,108.773,-34044298.56897251
40,111.356,-34032205.00745626
41,113.903,-34019310.01077823
42,116.482,-34006983.65262917
43,119.085,-33996339.95954096
44,121.713,-33985394.64207557
45,124.283,-33975753.47708526
46,126.853,-33964914.81212978
47,129.364,-33954656.99647297
48,131.937,-33944027.01420535
49,134.492,-33935004.63336127
50,137.049,-33925918.72396503
51,139.639,-33914393.59374183
52,142.196,-33906579.60124141
53,144.764,-33897163.49552829
54,147.305,-33886456.32773209
55,149.824,-33875849.33576036
56,152.417,-33867896.42576958
57,155.006,-33859523.14738615
58,157.558,-33851772.07973571
59,160.150,-33845971.45531655
60,162.733,-33837069.59177194
61,165.279,-33829726.58707296
62,167.913,-33821697.95774163
63,170.467,-33814605.22514718
64,173.018,-33806156.35818022
65,175.614,-33798385.47402589
66,178.227,-33790228.60877673
67,180.768,-33781534.19800001
68,183.369,-33773882.87975180
69,185.957,-33767958.89640662
70,188.487,-33760421.41665100
71,191.069,-33754419.32044210
72,193.739,-33747589.13554346
73,196.296,-33742040.25701597
74,198.859,-33734973.61275621
75,201.499,-33729456.09891678
76,204.077,-33723306.78035396
77,206.659,-33716599.20669708
78,209.241,-33710513.60485938
79,211.824,-33704783.98653302
80,214.399,-33698355.60357644
81,216.979,-33693015.74885935
82,219.572,-33687386.34037148
83,222.124,-33682341.00120585
84,224.701,-33677197.23392550
85,227.275,-33673254.09253259
86,229.866,-33668665.23306657
87,232.470,-33664372.99067380
88,235.108,-33659747.69627320
89,237.676,-33654019.43136077
90,240.284,-33654235.19628781
91,242.911,-33650286.23494548
92,245.500,-33646978.46841782
93,248.072,-33639525.57868502
94,250.653,-33635427.69898668
95,253.274,-33630788.31150043
96,255.870,-33626976.33033972
97,258.467,-33623781.38525125
98,261.047,-33619449.25956896
99,263.634,-33616661.39637512
100,266.179,-33612895.10706669
101,268.770,-33609146.67754033
102,271.384,-33605660.77613917
103,274.018,-33601928.59621649
104,276.672,-33598397.74410889
105,279.280,-33594512.26525080
106,281.860,-33592089.82535552
107,284.447,-33588462.30182727
108,287.057,-33584554.95918718
109,289.655,-33580979.78112246
110,292.276,-33576554.65615656
111,294.946,-33573968.70157875
112,297.543,-33571741.56068450
113,300.091,-33566602.26268776
114,302.704,-33563584.06604824
115,305.334,-33559519.95480704
116,307.949,-33556894.75956413
117,310.575,-33554363.59588764
118,313.184,-33551080.68681019
119,315.758,-33547426.11079101
120,318.355,-33544028.69423520
121,321.047,-33542249.69602616
122,323.667,-33540232.88638872
123,326.294,-33536976.25994534
124,328.931,-33533161.71449029
125,331.570,-33528561.13782317
126,334.170,-33525977.95356484
127,337.322,-33523981.43063484
128,339.977,-33521438.26664043
129,342.613,-33518868.61718642
130,345.302,-33516593.47057533
131,348.000,-33515512.57207333
132,350.662,-33514323.98291412
133,353.242,-33511747.73919668
134,355.873,-33510747.08239333
135,358.507,-33507933.87021909
136,361.127,-33503991.22802702
137,363.759,-33502534.61434444
138,366.403,-33499580.23252674
139,369.057,-33497376.84645302
140,371.711,-33494760.97833529
141,374.364,-33492084.94592255
142,376.983,-33490405.55379906
143,379.645,-33487336.06376711
144,382.284,-33483438.18365747
145,384.951,-33481674.55877523
146,387.560,-33479625.67239499
147,390.188,-33476993.73773709
148,392.882,-33474718.48973535
149,395.501,-33472290.34951137
150,398.159,-33470322.06952428
151,400.753,-33467655.20786532
152,403.411,-33464486.29841876
153,406.030,-33462811.16181597
154,408.695,-33461456.19064685
155,411.410,-33460615.20415241
156,414.052,-33458188.56642586
157,416.653,-33455193.26330721
158,419.279,-33452397.86954838
159,421.947,-33450728.97059950
160,424.529,-33447536.52484354
161,427.135,-33445082.71984824
162,429.832,-33442786.79210233
163,432.450,-33440510.02798360
164,435.117,-33436898.41222591
165,437.740,-33434437.49863232
166,440.407,-33431675.13934503
167,443.010,-33428842.61899358
168,445.669,-33427069.97823592
169,448.377,-33425329.08005859
170,451.431,-33423130.77614249
171,454.080,-33420572.89945377
172,456.663,-33418927.34422559
173,459.297,-33416670.17084938
174,462.597,-33414669.51838739
175,465.194,-33412614.17499846
176,467.805,-33409941.00044350
177,470.452,-33407705.26089272
178,473.114,-33405778.44135895
179,475.704,-33403770.26785513
180,478.402,-33403841.98948716
181,481.063,-33401868.07041657
182,483.693,-33399544.38608816
183,487.086,-33397858.59888038
184,489.746,-33395776.56539216
185,492.383,-33393823.15895664
186,494.971,-33391789.90923898
187,497.578,-33389704.68491013
188,500.247,-33388075.40529285
189,503.645,-33386301.01740302
190,506.219,-33384072.77030279
191,509.630,-33382250.69420163
192,512.265,-33380162.62371262
193,514.885,-33378337.44470159
194,517.486,-33376484.36835776
195,520.175,-33375122.15915246
196,522.779,-33373331.73527325
197,525.390,-33371247.83173197
198,527.987,-33369433.87314992
199,530.591,-33366910.45293250
200,533.204,-33365499.73039730
201,535.869,-33364831.84954723
202,538.575,-33364512.20951165
203,541.208,-33363730.11690299
204,543.809,-33363735.75926580
205,546.413,-33362882.58917157
206,549.790,-33362771.26324884
207,552.450,-33362827.22464797
208,555.074,-33361679.67535008
209,557.695,-33359919.62383855
210,560.374,-33358381.30548779
211,562.998,-33357511.02067784
212,565.639,-33356822.12097862
213,568.267,-33356802.24308817
214,570.924,-33356023.18367807
215,573.572,-33354919.35606142
216,576.220,-33354131.02044731
217,578.992,-33353482.89021575
218,581.644,-33351786.55288323
219,584.259,-33350645.61780093
220,586.893,-33349713.28945602
221,589.544,-33348412.37107204
222,592.227,-33346220.97768775
223,595.737,-33345066.75307071
224,598.395,-33343605.52672323
225,601.061,-33342279.40840627
226,603.683,-33340037.88093510
227,606.347,-33339729.48304549
228,608.994,-33338334.51813847
229,611.662,-33337308.84825557
230,614.286,-33336805.57022870
231,616.962,-33335272.20085415
232,622.266,-33333999.42375518
233,624.877,-33332104.57883469
234,627.511,-33331704.46821458
235,630.163,-33331404.04149120
236,632.769,-33330330.03334710
237,635.376,-33329082.40555525
238,638.917,-33327032.86968125
239,641.550,-33326337.17130664
240,644.159,-33327535.04376204
241,646.798,-33326084.86425334
242,649.497,-33324853.75151668
243,652.070,-33322996.41548916
244,654.670,-33321630.63677153
245,657.295,-33320072.59196584
246,659.957,-33319512.70992889
247,662.571,-33317704.76338000
248,665.200,-33315679.28565397
249,667.839,-33314454.57602197
250,670.481,-33313665.27408257
251,673.113,-33312094.36793111
252,675.786,-33310697.11882062
253,678.399,-33309139.33147602
254,681.050,-33307897.60817544
255,683.665,-33305646.62544734
256,686.835,-33305191.89234028
257,689.662,-33303505.27651669
258,692.305,-33302125.35367889
259,694.950,-33300372.50599074
260,697.594,-33298631.98219677
261,700.208,-33296615.36103420
262,702.852,-33295830.45309752
263,705.511,-33295215.34070928
264,708.137,-33294711.98606700
265,710.744,-33293359.03071737
266,713.404,-33291552.76296245
267,716.008,-33289915.64673286
268,718.668,-33287890.58931330
269,721.306,-33286801.05491534
270,723.950,-33286221.53661811
271,726.544,-33285002.56087731
272,729.167,-33283773.93196524
273,731.794,-33282173.23235490
274,734.414,-33281092.83185850
275,737.021,-33279664.35457331
276,739.622,-33278491.54108350
277,742.294,-33277498.58113710
278,744.914,-33277077.61816471
279,747.522,-33275666.96917805
280,750.170,-33274819.75055918
281,752.799,-33274616.13790689
282,755.454,-33272958.86477782
283,758.099,-33271492.97491884
284,760.753,-33271103.79624508
285,763.355,-33270454.28016764
286,765.998,-33268855.54455027
287,768.670,-33268607.96051136
288,771.271,-33267229.46451441
289,773.908,-33266040.30038503
290,776.580,-33266068.31240534
291,779.249,-33264970.83477416
292,781.849,-33264777.22897251
293,784.482,-33264724.38790642
294,787.137,-33263804.34827025
295,789.777,-33264086.06729277
296,792.388,-33264675.34211787
297,795.035,-33263198.66419563
298,797.660,-33261868.85556873
299,800.263,-33260650.46142621
300,802.942,-33260218.10458589
301,805.606,-33262213.94804178
302,808.247,-33260604.23421904
303,810.865,-33259932.58849305
304,813.540,-33259383.33672519
305,816.183,-33258816.26099135
306,818.835,-33258793.32256480
307,821.455,-33257754.78566685
308,824.144,-33257759.53477513
309,826.775,-33257562.41331441
310,829.422,-33256864.56266700
311,832.075,-33255779.50210815
312,834.720,-33255240.32245363
313,837.361,-33254429.79171396
314,840.348,-33253992.07108158
315,842.990,-33254345.29119468
316,845.616,-33253396.68079002
317,848.250,-33253563.66306167
318,850.874,-33252844.29467828
319,853.554,-33252055.24014359
320,856.187,-33252664.81254344
321,858.859,-33251593.34883206
322,861.555,-33250843.51545418
323,864.200,-33250679.54273990
324,866.831,-33250335.51095402
325,869.466,-33250060.32649793
326,872.111,-33250433.35735973
327,874.748,-33249138.48662622
328,877.337,-33248560.70233990
329,880.017,-33247390.21623457
330,882.660,-33246457.12067442
331,885.263,-33244864.85743136
332,887.917,-33244628.32621330
333,890.570,-33243850.15028716
334,893.198,-33243483.38141056
335,895.802,-33243336.78943662
336,898.426,-33243171.92791423
337,901.084,-33242585.60662879
338,903.701,-33241438.04982262
339,906.344,-33240306.65112303
340,909.057,-33239575.39009394
341,911.709,-33238852.45304914
342,914.350,-33238007.17640118
343,916.986,-33237673.02695522
344,919.618,-33236963.12686642
345,922.259,-33235602.00560710
346,924.920,-33234601.98965835
347,927.590,-33233589.05561832
348,930.236,-33232744.29914728
349,932.890,-33231907.15729097
350,935.549,-33231404.98258562
351,938.164,-33231192.65799695
352,940.776,-33230026.23306578
353,943.445,-33230299.89590968
354,946.130,-33229653.65020451
355,948.795,-33229948.61244668
356,951.427,-33228782.49445755
357,954.083,-33228319.69042287
358,956.728,-33226944.15400934
359,959.365,-33225608.00614049
360,962.035,-33225357.41389784
361,964.669,-33223967.83724417
362,967.308,-33222917.96006391
363,969.940,-33221961.00180684
364,972.947,-33221606.95458209
365,975.649,-33220862.93840857
366,978.294,-33219420.79442995
367,980.930,-33219428.83303815
368,983.598,-33218265.78973093
369,986.257,-33217223.84999714
370,988.883,-33216046.42288921
371,991.547,-33215181.25921913
372,994.182,-33214841.45747849
373,996.851,-33214422.45466241
374,999.506,-33213925.06457488
375,1002.158,-33212794.00583185
376,1004.801,-33211779.61336965
377,1007.505,-33212156.37280669
378,1010.153,-33211262.37468494
379,1012.821,-33210391.04838172
380,1015.470,-33211482.99764789
381,1018.140,-33211137.72522108
382,1020.789,-33210026.74666016
383,1023.483,-33209541.63559115
384,1026.134,-33209252.32650045
385,1028.797,-33208414.94731204
386,1031.863,-33207817.04819654
387,1034.508,-33207233.65625761
388,1037.168,-33206646.45041528
389,1040.198,-33205916.26123333
390,1042.885,-33207221.51464770
391,1045.511,-33205909.11535266
392,1048.173,-33205109.04951567
393,1050.855,-33204326.96192038
394,1053.523,-33203765.19290987
395,1056.160,-33203799.46106775
396,1058.817,-33202834.61438397
397,1061.548,-33203045.01473812
398,1064.220,-33202773.74120025
399,1066.827,-33201872.37398419
400,1069.451,-33200960.25421700
401,1072.153,-33200746.51449820
402,1074.807,-33201329.51708453
403,1077.445,-33200964.04052616
404,1080.091,-33200523.19248112
405,1082.724,-33199928.80500331
406,1085.373,-33200610.88735809
407,1088.015,-33200188.00293919
408,1090.716,-33199930.38594864
409,1093.388,-33200029.77633547
410,1097.773,-33200441.03799069
411,1100.436,-33200980.34904373
412,1103.068,-33200044.07503271
413,1105.726,-33199613.68193872
414,1108.369,-33198949.60306627
415,1111.072,-33198039.86349281
416,1113.742,-33197654.69207638
417,1116.374,-33197668.96491941
418,1118.991,-33196628.10841194
419,1121.669,-33196522.71967370
420,1124.318,-33196243.08090811
421,1127.195,-33196002.60201583
422,1129.882,-33195608.11955602
423,1132.896,-33195513.64690403
424,1135.562,-33195583.66825803
425,1138.212,-33196452.16464084
426,1140.914,-33196089.67253284
427,1143.589,-33196325.98755661
