Iter,Time,LogLik
1,1.518,-8217992.28796707
2,2.923,-8265533.97915269
3,4.312,-8300513.76902972
4,5.674,-8328094.98001834
5,7.013,-8349902.23582216
6,8.302,-8369234.73927599
7,9.614,-8383385.79728930
8,10.957,-8395787.65542514
9,12.253,-8404581.96809343
10,13.568,-8413254.69066609
11,14.896,-8420239.11974670
12,16.206,-8427337.76679207
13,17.467,-8429013.65805417
14,18.752,-8431825.58245562
15,20.048,-8434717.00677015
16,21.334,-8437702.59932872
17,22.629,-8440102.43931802
18,23.889,-8442645.71385251
19,25.179,-8444257.38585959
20,26.445,-8445934.24576889
21,27.704,-8447033.39590920
22,28.954,-8448649.23637137
23,30.181,-8448918.96591016
24,31.422,-8450046.26658709
25,32.670,-8450101.67731815
26,33.973,-8450462.99039250
27,35.210,-8450240.10511289
28,36.457,-8450332.00585504
29,37.695,-8449949.54219678
30,38.949,-8449813.28520816
31,40.190,-8449818.51540231
32,41.450,-8449687.78297584
33,42.686,-8448978.17942055
34,44.009,-8448673.09325359
35,45.242,-8448727.00207867
36,46.487,-8448264.56752623
37,47.728,-8447482.11907699
38,48.963,-8447153.38392640
39,50.234,-8446549.62566682
40,51.457,-8445961.13897935
41,52.714,-8445185.57637381
42,53.958,-8444548.84670808
43,55.199,-8443890.52342084
44,56.475,-8443302.51303736
45,57.705,-8442387.18286048
46,59.364,-8441663.13854742
47,60.631,-8441154.07172889
48,61.865,-8440307.72745881
49,63.072,-8439672.54115143
50,64.313,-8438729.91069036
51,65.533,-8437818.84357457
52,66.810,-8437175.92650500
53,68.063,-8436565.80165116
54,69.320,-8435834.39075091
55,70.543,-8435240.63182739
56,71.788,-8434245.89550229
57,73.041,-8433512.01096960
58,74.334,-8432655.14050157
59,75.564,-8431664.32012073
60,76.785,-8430828.89671394
61,78.020,-8430001.50042228
62,79.258,-8429173.61722414
63,80.483,-8428279.09985624
64,81.697,-8427466.23370713
65,82.930,-8426823.78451971
66,84.180,-8425984.29411748
67,85.422,-8425347.16928498
68,86.659,-8424382.31094778
69,87.876,-8423470.80240564
70,89.097,-8422536.80818234
71,90.388,-8421764.31969498
72,91.633,-8420846.03039995
73,92.894,-8420020.22289570
74,94.131,-8419377.62971021
75,95.378,-8418683.60331205
76,96.587,-8417994.66051252
77,97.827,-8417298.49859433
78,99.053,-8416382.34231074
79,100.268,-8415410.60442636
