Iter,Time,LogLik
1,65.236,-673139165.49825480
2,115.594,-664628410.26629090
3,162.811,-657355446.73459400
4,208.851,-652131915.09291450
5,254.355,-648497586.96984660
6,299.242,-645773370.96301440
7,344.220,-643669445.48342880
8,389.838,-642008462.96303730
9,436.595,-640734850.88088320
10,488.664,-639702584.74398240
11,539.170,-638826202.49025700
12,585.461,-638107942.39935000
13,632.114,-637454628.51091430
14,678.883,-636897455.09609410
15,725.998,-636414884.16639610
16,773.384,-635988899.30342960
17,820.576,-635616763.17746380
18,868.337,-635280549.08703370
19,916.890,-634997717.28972570
20,969.474,-634754033.83645080
21,1021.216,-634534974.22127960
22,1069.538,-634345598.05104280
23,1118.495,-634145205.09252800
24,1167.762,-633975182.35133580
25,1217.291,-633827956.67538790
26,1266.403,-633694883.98626830
27,1315.693,-633557652.86400320
28,1368.481,-633423020.25080490
29,1422.596,-633334626.03798270
30,1477.068,-633223678.28103450
31,1531.047,-633138792.43173970
32,1581.113,-633028792.97204170
33,1631.250,-632945921.52323410
34,1681.182,-632865107.50054660
35,1731.241,-632784552.30723640
36,1781.551,-632720710.71024610
37,1832.009,-632643867.09725990
38,1885.713,-632581748.28330920
39,1937.956,-632516427.51471510
40,1992.445,-632456335.76163780
41,2045.132,-632405271.94239530
42,2095.980,-632350954.74361060
43,2146.977,-632303217.52789970
44,2198.060,-632252887.46428240
45,2249.004,-632212067.50017300
46,2299.823,-632160824.98876040
47,2352.370,-632111122.23277690
48,2406.570,-632069792.24949180
49,2464.387,-632013083.24630170
50,2519.462,-631998821.72263610
51,2570.675,-631965322.84484600
52,2621.956,-631932881.96217660
53,2673.700,-631900109.63759290
54,2724.960,-631860696.39533560
55,2776.349,-631845314.66366970
56,2827.892,-631821191.74468420
57,2881.719,-631785538.88315100
58,2936.306,-631745641.86782530
59,2990.149,-631722137.75029250
60,3045.573,-631691734.13064160
61,3097.510,-631658947.60860240
62,3149.242,-631638755.71892950
63,3201.075,-631612665.25150300
64,3252.838,-631580950.41963700
65,3304.227,-631552680.59140230
66,3356.267,-631530492.04823630
67,3410.143,-631503882.11412690
68,3462.808,-631482206.88201860
69,3516.430,-631468892.63870010
70,3572.345,-631439226.72796600
71,3624.190,-631418122.16998400
72,3676.291,-631402973.25471330
73,3728.202,-631384280.65290420
74,3780.218,-631368624.75003680
75,3832.129,-631346080.01987200
76,3886.274,-631329052.96001820
77,3938.187,-631309141.50014140
78,3990.907,-631292764.39716730
79,4047.505,-631284735.56829430
80,4104.188,-631254598.55268930
81,4156.392,-631230574.70069590
82,4208.471,-631221637.32728490
83,4260.298,-631206502.43972350
84,4312.766,-631197845.21910480
85,4368.106,-631183877.42149940
86,4420.486,-631177026.26247060
87,4472.478,-631161329.19611160
88,4525.234,-631136015.46607020
89,4579.849,-631123216.35485170
90,4634.767,-631114495.91383230
91,4686.871,-631106957.77313110
92,4738.679,-631087218.46576930
93,4790.578,-631077893.87615440
94,4842.532,-631060869.85819630
95,4896.839,-631047500.86289220
96,4949.232,-631025715.30882760
97,5001.903,-631014215.21158860
98,5054.974,-631010831.52483760
99,5108.415,-631010516.82325960
100,5165.263,-630991695.18101380
101,5217.568,-631003760.64954140
102,5269.913,-631001196.10387430
103,5322.163,-631004701.40674350
104,5374.884,-631003842.23964720
105,5432.423,-631008929.34649500
106,5485.483,-631007828.45341280
107,5538.550,-631005572.40564870
108,5590.957,-631001760.35276220
109,5646.828,-630992507.66683970
110,5699.218,-630988826.88168060
111,5751.324,-630989423.34448020
112,5803.714,-630981071.83602500
113,5856.419,-630960804.43800390
114,5911.149,-630954950.96125000
115,5968.499,-630947100.48825970
116,6020.836,-630936616.22254940
117,6076.527,-630933071.95327040
118,6129.452,-630919735.13651650
119,6185.652,-630905614.24407970
120,6238.023,-630898067.25640710
121,6290.573,-630887124.18498040
122,6343.114,-630876120.71393450
123,6395.490,-630866678.46575840
124,6450.921,-630855729.62754790
125,6507.234,-630851370.59616420
126,6559.907,-630846031.24962030
127,6615.381,-630836607.50094250
128,6671.005,-630825600.94041370
129,6723.625,-630813171.48343530
130,6776.338,-630801664.29703350
131,6828.668,-630801458.71720400
132,6881.663,-630794549.00476540
133,6934.353,-630791318.70780100
134,6992.206,-630782240.01093440
135,7046.794,-630771183.67291430
